Populacao,Geracoes,Taxa Mutacao,Custo
50,500,0.05,0.4692516532
50,500,0.1,0.4999849176
50,500,0.15,0.5013419927
50,500,0.2,0.4842745424
50,1000,0.05,0.4501376944
50,1000,0.1,0.4075349731
50,1000,0.15,0.4589342494
50,1000,0.2,0.4521123088
50,1500,0.05,0.4396109733
50,1500,0.1,0.4591587785
50,1500,0.15,0.4273687581
50,1500,0.2,0.3723815229
50,2000,0.05,0.3854228997
50,2000,0.1,0.4271906365
50,2000,0.15,0.4105068357
50,2000,0.2,0.3518900446
100,500,0.05,0.4584342003
100,500,0.1,0.439918043
100,500,0.15,0.4613312198
100,500,0.2,0.4854976915
100,1000,0.05,0.4626861271
100,1000,0.1,0.431984458
100,1000,0.15,0.4607343502
100,1000,0.2,0.385911251
100,1500,0.05,0.412160209
100,1500,0.1,0.3674608102
100,1500,0.15,0.4208063012
100,1500,0.2,0.3876170744
100,2000,0.05,0.4053420397
100,2000,0.1,0.4168542688
100,2000,0.15,0.4276475342
100,2000,0.2,0.3204858389
150,500,0.05,0.4135065106
150,500,0.1,0.4740389977
150,500,0.15,0.3934627912
150,500,0.2,0.4065961037
150,1000,0.05,0.4050222621
150,1000,0.1,0.3855231174
150,1000,0.15,0.4002541478
150,1000,0.2,0.3888955071
150,1500,0.05,0.3975542683
150,1500,0.1,0.3636697203
150,1500,0.15,0.3524481224
150,1500,0.2,0.4306298208
150,2000,0.05,0.391461316
150,2000,0.1,0.3986130807
150,2000,0.15,0.353366544
150,2000,0.2,0.2645408977
200,500,0.05,0.3794059929
200,500,0.1,0.4231353152
200,500,0.15,0.3926859763
200,500,0.2,0.4643977147
200,1000,0.05,0.3614408797
200,1000,0.1,0.3882660879
200,1000,0.15,0.3279071069
200,1000,0.2,0.3664939873
200,1500,0.05,0.4027107183
200,1500,0.1,0.3315366468
200,1500,0.15,0.3884938689
200,1500,0.2,0.2986856795
200,2000,0.05,0.3563316063
200,2000,0.1,0.3162746079
200,2000,0.15,0.3842484527
200,2000,0.2,0.431207219
