Temperatura Inicial,Temperatura Final,Alfa,Custo
500,0.1,0.95,0.3038955942
500,0.1,0.98,0.2574502013
500,0.1,0.995,0.1956948622
500,0.1,0.999,0.1456723598
500,0.05,0.95,0.3058865184
500,0.05,0.98,0.3597255207
500,0.05,0.995,0.1691246263
500,0.05,0.999,0.0770675059
500,0.01,0.95,0.2510792301
500,0.01,0.98,0.2529459459
500,0.01,0.995,0.2321585514
500,0.01,0.999,0.08658841346
500,0.005,0.95,0.2402088392
500,0.005,0.98,0.2769612146
500,0.005,0.995,0.1567770705
500,0.005,0.999,0.1511810505
1000,0.1,0.95,0.3534143303
1000,0.1,0.98,0.1615009629
1000,0.1,0.995,0.2163119743
1000,0.1,0.999,0.1339968955
1000,0.05,0.95,0.2818116973
1000,0.05,0.98,0.2657914273
1000,0.05,0.995,0.1650809749
1000,0.05,0.999,0.1236186727
1000,0.01,0.95,0.2523651707
1000,0.01,0.98,0.2657956233
1000,0.01,0.995,0.12204362
1000,0.01,0.999,0.1448887018
1000,0.005,0.95,0.1998360667
1000,0.005,0.98,0.2452836637
1000,0.005,0.995,0.2186526732
1000,0.005,0.999,0.1279571492
1500,0.1,0.95,0.296063994
1500,0.1,0.98,0.1911487138
1500,0.1,0.995,0.09580781733
1500,0.1,0.999,0.1272488802
1500,0.05,0.95,0.3153125999
1500,0.05,0.98,0.1942447359
1500,0.05,0.995,0.2128223801
1500,0.05,0.999,0.1636399017
1500,0.01,0.95,0.2767039934
1500,0.01,0.98,0.2728429735
1500,0.01,0.995,0.2071882488
1500,0.01,0.999,0.1094744499
1500,0.005,0.95,0.3344152228
1500,0.005,0.98,0.2226700733
1500,0.005,0.995,0.1794883965
1500,0.005,0.999,0.1223850873
2000,0.1,0.95,0.274675001
2000,0.1,0.98,0.2632469277
2000,0.1,0.995,0.147534947
2000,0.1,0.999,0.1410976935
2000,0.05,0.95,0.270371087
2000,0.05,0.98,0.2966194382
2000,0.05,0.995,0.2211347929
2000,0.05,0.999,0.1600584217
2000,0.01,0.95,0.2438682878
2000,0.01,0.98,0.2502997931
2000,0.01,0.995,0.1897370922
2000,0.01,0.999,0.1194214406
2000,0.005,0.95,0.307064242
2000,0.005,0.98,0.3108860848
2000,0.005,0.995,0.1379471592
2000,0.005,0.999,0.06486510954
